,country,smoking,depression_rate,health_exp,gdp_cap,rank,life_exp,bmi,relig_imp,inf_mort_rate
0,Andorra,6398.3,956.319,4316.0,14263.414772727272,22.0,81.8,27.5,74.0774647887324,2.9
1,Luxembourg,6330.9,1110.0,6236.0,113196.0,18.0,82.1,26.5,39.0,2.4
2,Belarus,2911.3,855.825,352.0,6603.0,82.0,74.6,26.6,34.0,3.4
3,Macedonia,2784.9,1037.76,295.0,6096.0,72.0,75.7,25.8,76.0,27.770621468926553
5,Belgium,2440.9,1244.46,4228.0,45175.0,25.0,81.5,25.5,33.0,3.7
6,Czech Republic,2427.9,934.095,1284.0,23213.0,35.0,79.2,26.9,21.0,3.4
7,Jordan,2306.1,923.086,257.0,4386.0,86.0,74.4,28.9,96.0,16.2
8,Russia,2295.0,856.718,524.0,11162.0,106.0,72.4,26.5,34.0,7.2
9,Syria,2291.7,930.51,1025.9885057471265,14263.414772727272,113.0,71.8,28.1,89.0,16.7
10,Slovenia,2236.5,1248.47,1772.0,26170.0,28.0,81.2,26.9,47.0,2.1
11,Greece,2078.6,632.054,1505.0,19974.0,16.0,82.1,27.3,71.0,4.5
12,Hungary,2060.3,847.062,894.0,17463.0,58.0,76.7,26.3,39.0,4.3
13,China,2043.0,857.314,426.0,10098.0,59.0,76.7,23.9,74.0774647887324,8.6
14,Lebanon,2037.5,939.728,645.0,9654.0,37.0,78.9,27.8,87.0,7.4
15,Armenia,1985.7,1133.2,366.0,4527.0,79.0,74.9,26.7,73.0,12.4
16,Mongolia,1982.5,866.49,152.0,4132.0,128.0,69.7,26.0,74.0774647887324,16.3
17,Cyprus,1961.4,936.667,1563.0,27719.0,30.0,80.8,27.0,75.0,2.4
18,Austria,1927.0,1108.3,4536.0,50022.0,26.0,81.4,25.4,55.0,3.5
19,Georgia,1917.7,1056.6,281.0,4289.0,95.0,73.6,27.2,81.0,9.8
20,Serbia,1898.6,1039.45,491.0,7397.0,68.0,75.8,25.8,54.0,5.5
21,Ukraine,1849.4,858.312,125.0,3592.0,110.0,72.0,26.0,46.0,8.7
22,Kazakhstan,1800.9,860.07,379.0,9139.0,98.0,73.2,27.4,43.0,9.9
23,Turkey,1770.7,1037.51,455.0,8957.0,44.0,78.3,27.8,82.0,10.6
24,Bosnia and Herzegovina,1767.2,1044.53,431.0,5741.0,49.0,77.3,26.1,77.0,5.8
25,Estonia,1759.9,857.445,1112.0,23523.0,40.0,78.6,25.5,16.0,2.6
26,Bulgaria,1757.3,1040.66,572.0,9518.0,80.0,74.9,26.0,34.0,7.1
27,Moldova,1747.2,855.04,186.0,3300.0,112.0,71.8,26.7,72.0,15.8
28,Papua New Guinea,1689.3,909.399,77.0,2742.0,153.0,64.3,25.3,74.0774647887324,47.8
29,Indonesia,1675.5,927.707,112.0,4163.0,117.0,71.5,22.9,99.0,25.0
30,South Korea,1667.4,863.421,1025.9885057471265,31430.0,10.0,82.8,23.9,43.0,3.2
31,Germany,1599.5,955.011,4592.0,46563.0,27.0,81.2,26.3,40.0,3.7
32,Japan,1583.2,531.252,3733.0,40846.0,1.0,84.5,22.6,24.0,2.5
33,Tunisia,1580.0,931.414,258.0,3287.0,64.0,76.5,26.8,93.0,17.0
34,Croatia,1578.9,1141.79,852.0,14949.0,42.0,78.3,25.5,70.0,4.7
35,Malta,1527.9,763.792,2304.0,30650.0,13.0,82.4,27.2,86.0,7.0
36,Azerbaijan,1525.6,1120.05,368.0,4689.0,101.0,72.9,27.4,50.0,21.5
37,Slovakia,1500.9,1042.62,1108.0,19547.0,48.0,77.4,26.5,47.0,5.6
38,Spain,1499.0,620.772,2354.0,29961.0,5.0,83.4,26.7,49.0,3.0
39,Italy,1493.3,776.376,2700.0,32946.0,4.0,83.6,26.0,72.0,3.0
40,Switzerland,1489.8,1114.11,9818.0,83716.0,6.0,83.4,25.3,41.0,4.1
41,Samoa,1470.6,896.317,223.0,4500.0,99.0,73.2,31.7,74.0774647887324,15.8
42,Netherlands,1459.9,861.586,4746.0,52367.0,19.0,82.1,25.4,33.0,3.9
43,Egypt,1449.4,931.894,157.0,3046.0,111.0,71.8,29.2,97.0,21.2
44,Solomon Islands,1419.1,900.169,152.0,2246.0,103.0,72.8,25.5,74.0774647887324,20.0
45,Kuwait,1412.7,877.069,1169.0,29266.0,73.0,75.4,30.0,91.0,7.9
46,Kiribati,1396.0,900.401,108.0,1574.0,134.0,68.1,29.6,74.0774647887324,52.5
47,Poland,1363.1,1043.18,797.0,14901.0,41.0,78.5,26.4,75.0,4.4
48,Saudi Arabia,1341.0,895.616,1194.0,22865.0,78.0,75.0,28.5,93.0,7.1
49,Denmark,1298.0,1110.76,5497.0,59795.0,31.0,80.8,25.3,19.0,4.2
50,Lithuania,1292.0,855.363,923.0,19266.0,71.0,75.7,26.6,42.0,4.0
51,Israel,1280.7,1273.92,2756.0,42823.0,9.0,82.8,26.3,51.0,3.7
52,Romania,1204.3,1041.97,442.0,12482.0,67.0,75.9,25.3,84.0,7.3
53,Latvia,1189.1,855.207,784.0,18171.0,75.0,75.2,25.8,39.0,3.9
54,Iraq,1184.4,931.842,154.0,5738.0,123.0,70.5,28.0,84.0,26.7
55,Argentina,1176.1,1094.2,998.0,9887.0,60.0,76.5,27.7,65.0,9.9
56,Portugal,1133.4,721.798,1722.0,23030.0,21.0,81.9,26.2,72.0,3.7
57,Philippines,1132.2,921.373,127.0,3294.0,120.0,71.1,23.2,96.0,28.4
58,Bahrain,1101.5,892.281,1190.0,25273.0,50.0,77.2,28.2,94.0,7.1
59,Montenegro,1100.8,945.243875706215,382.0,8703.0,55.0,76.8,26.0,71.0,27.770621468926553
60,Finland,1098.8,1344.13,4005.0,48868.0,23.0,81.7,25.9,28.0,1.7
61,France,1089.9,1234.32,4026.0,41760.0,12.0,82.5,25.3,30.0,4.0
62,Vanuatu,1069.2,898.831,99.0,3260.0,125.0,70.3,26.2,74.0774647887324,26.4
63,Vietnam,1049.6,911.415,117.0,2740.0,74.0,75.3,21.6,30.0,20.7
64,Algeria,1046.7,731.743,292.0,3980.0,57.0,76.7,26.2,95.0,23.5
65,Canada,1021.3,1157.07,4508.0,46212.0,14.0,82.3,27.2,42.0,5.0
66,Qatar,1020.3,847.175,2030.0,69687.0,93.16949152542372,80.1,29.2,95.0,6.8
67,United States,1016.6,1454.74,9536.0,65111.0,38.0,78.9,28.8,69.0,6.5
69,Tonga,986.9,909.227,221.0,4862.0,122.0,70.8,31.9,74.0774647887324,15.6
70,Ireland,976.5,959.325,4757.0,77771.0,17.0,82.1,27.5,54.0,3.7
71,Turkmenistan,962.1,1112.94,405.0,7816.0,135.0,68.1,26.4,80.0,45.8
72,Iran,936.5,929.554,366.0,5506.0,61.0,76.5,26.2,73.0,14.4
73,Australia,917.0,846.943,4934.0,53825.0,7.0,83.3,27.2,32.0,3.7
74,Uruguay,899.4,1095.86,1281.0,17029.0,46.0,77.8,27.8,41.0,7.6
75,Singapore,851.2,919.158,2280.0,63987.0,3.0,83.8,23.7,70.0,2.8
76,Iceland,848.1,955.986,4375.0,67037.0,8.0,82.9,25.9,74.0774647887324,2.0
77,Thailand,837.4,925.765,217.0,7791.0,53.0,76.9,24.1,97.0,9.1
78,United Kingdom,827.7,960.624,4356.0,41030.0,29.0,81.2,27.3,27.0,4.3
79,Laos,814.6,923.076,53.0,2670.0,138.0,67.6,22.6,97.0,47.3
80,Djibouti,785.5,733.559,82.0,2936.0,143.0,66.6,23.3,98.0,59.3
81,Chile,769.3,1221.23,1102.0,15399.0,34.0,80.0,26.8,70.0,7.2
83,Bangladesh,744.1,1401.53,32.0,1905.0,108.0,72.3,21.0,100.0,30.2
84,Cambodia,726.2,923.746,70.0,1620.0,129.0,69.6,21.9,96.0,28.0
85,Sweden,716.2,1060.42,5600.0,51241.0,11.0,82.7,25.8,17.0,2.7
86,New Zealand,685.1,851.065,3554.0,40634.0,20.0,82.1,27.9,33.0,5.7
87,Trinidad and Tobago,682.5,1098.21,1146.0,16365.0,96.0,73.4,28.7,92.0,18.3
88,Morocco,682.3,936.319,160.0,3345.0,62.0,76.5,25.6,97.0,22.4
89,Comoros,585.4,733.904,59.0,1349.0,154.0,64.1,24.1,97.0,67.5
90,Maldives,560.9,1391.61,944.0,15562.0,93.16949152542372,78.627,25.1,74.0774647887324,8.6
92,Norway,552.8,996.78,7464.0,77975.0,15.0,82.3,26.0,21.0,2.5
93,Seychelles,543.6,732.305,492.0,17052.0,97.0,73.3,26.8,74.0774647887324,14.5
94,Mauritius,542.5,732.672,506.0,11360.0,81.0,74.9,25.6,74.0774647887324,15.5
95,Kyrgyzstan,519.6,1112.1,92.0,1292.0,118.0,71.3,26.2,72.0,18.9
96,Suriname,511.7,1091.56,577.0,6310.0,114.0,71.6,27.4,74.0774647887324,18.9
97,Nepal,511.6,1424.48,44.0,1047.0,124.0,70.5,22.2,93.0,32.2
98,South Africa,509.6,725.772,471.0,6100.0,155.0,63.9,27.3,85.0,33.8
99,Mozambique,501.9,733.777,28.0,484.0,174.0,60.2,22.3,86.0,73.2
100,Uzbekistan,495.9,1110.18,134.0,1831.0,115.0,71.6,26.1,59.0,21.4
101,Fiji,491.1,903.122,175.0,6379.0,139.0,67.3,27.2,74.0774647887324,25.6
102,Honduras,469.8,1098.66,177.0,2548.0,76.0,75.1,26.4,84.0,17.6
103,Sierra Leone,468.6,738.366,107.0,546.0,183.0,54.3,22.8,74.0774647887324,105.1
104,Gabon,451.2,733.615,198.0,8112.0,145.0,66.2,25.5,74.0774647887324,44.8
105,Lesotho,448.0,745.348,91.0,1338.0,185.0,53.7,24.9,74.0774647887324,81.1
106,Malaysia,441.2,918.331,386.0,11136.0,65.0,76.1,25.3,96.0,7.8
107,Bahamas,438.6,1099.29,1685.0,33261.0,93.0,73.8,28.8,74.0774647887324,10.2
108,Botswana,433.5,723.997,389.0,7859.0,131.0,69.3,24.7,77.0,36.5
109,Yemen,423.8,931.675,72.0,943.0,146.0,66.1,25.8,99.0,55.0
110,Costa Rica,411.4,1083.23,929.0,12014.0,33.0,80.1,26.9,79.0,8.8
111,Burkina Faso,408.1,738.634,33.0,717.0,167.0,61.2,22.1,88.0,76.4
112,Madagascar,404.2,735.148,21.0,463.0,142.0,66.7,21.1,93.0,53.6
113,Cape Verde,397.1,748.052,146.0,3598.0,102.0,72.8,24.7,74.0774647887324,19.5
114,Venezuela,396.2,1088.72,973.0,2547.0,109.0,72.1,27.2,79.0,24.5
115,Paraguay,384.5,1085.28,321.0,5692.0,89.0,74.1,25.8,92.0,20.2
116,South Sudan,383.7,945.243875706215,28.0,275.0,180.0,57.6,25.2,74.0774647887324,98.6
117,Pakistan,363.2,1400.42,38.0,1388.0,140.0,67.1,23.8,92.0,69.3
118,Tajikistan,361.1,1112.45,63.0,877.0,121.0,70.9,25.4,85.0,34.8
119,Senegal,359.4,735.975,36.0,1427.0,137.0,67.7,23.0,96.0,43.6
120,Guyana,359.1,1086.82,184.0,5252.0,127.0,69.8,26.3,74.0774647887324,30.1
122,Colombia,351.4,1099.51,374.0,6508.0,51.0,77.1,25.9,83.0,14.2
123,Angola,340.2,739.066,109.0,3037.0,171.0,60.8,24.1,88.0,77.2
124,Sudan,339.9,732.233,152.0,714.0,148.0,65.1,25.2,93.0,60.5
125,Brazil,333.5,1396.1,780.0,8796.0,69.0,75.7,25.9,87.0,14.4
126,Equatorial Guinea,328.2,737.167,280.0,8927.0,178.0,58.4,25.6,74.0774647887324,85.3
127,Nicaragua,327.8,1161.25,163.0,1919.0,87.0,74.3,26.9,84.0,18.3
128,Libya,327.2,919.74,1025.9885057471265,5019.0,104.0,72.7,28.4,74.0774647887324,12.0
129,Mexico,327.1,784.702,535.0,10118.0,77.0,75.0,28.1,73.0,12.7
130,Mali,316.9,746.409,42.0,924.0,177.0,58.9,22.8,95.0,97.8
131,Guinea,316.0,732.777,25.0,981.0,169.0,61.2,22.7,97.0,100.8
132,Jamaica,312.5,1100.1,294.0,5460.0,85.0,74.4,27.4,70.0,14.4
133,Afghanistan,311.6,1385.14,60.0,513.0,151.0,64.5,21.6,97.0,62.3
134,Namibia,298.4,726.357,423.0,5842.0,161.0,63.4,24.3,92.0,39.6
135,Bolivia,291.6,1161.56,197.0,3670.0,119.0,71.2,25.9,89.0,26.8
136,Chad,279.3,736.668,36.0,861.0,184.0,54.0,22.3,95.0,119.0
137,Barbados,277.5,1095.76,1160.0,18069.0,36.0,79.1,28.7,74.0774647887324,12.2
138,Oman,271.1,888.392,636.0,17791.0,47.0,77.6,26.9,100.0,11.4
139,Kenya,264.4,723.667,70.0,1997.0,162.0,63.3,23.0,94.0,41.1
141,Sri Lanka,254.6,922.893,118.0,3946.0,56.0,76.8,23.0,99.0,7.4
142,Gambia,249.1,734.206,32.0,755.0,165.0,61.7,24.0,74.0774647887324,58.4
143,Malawi,241.1,725.934,34.0,370.0,157.0,63.8,22.8,99.0,49.7
144,Burundi,239.4,731.009,24.0,309.0,168.0,61.2,20.9,98.0,58.5
145,Cuba,233.5,1087.25,1025.9885057471265,14263.414772727272,39.0,78.6,26.2,34.0,5.0
146,Myanmar,226.5,917.689,59.0,1244.0,141.0,66.9,22.6,97.0,46.2
147,Panama,219.3,1086.71,921.0,16245.0,43.0,78.3,27.1,88.0,15.3
148,Dominican Republic,218.9,1093.04,397.0,8629.0,90.0,73.9,26.7,87.0,28.8
149,C.A.R.,213.2,728.622,17.0,447.0,186.0,52.8,22.4,94.0,116.5
150,El Salvador,206.7,1103.93,283.0,4008.0,100.0,73.1,27.4,83.0,13.7
151,Benin,204.0,733.968,31.0,1216.0,166.0,61.5,23.4,93.0,93.0
153,Uganda,195.7,722.676,46.0,770.0,163.0,63.0,22.0,93.0,46.4
154,Congo R,195.2,723.945,59.0,2534.0,152.0,64.3,23.3,95.0,50.1
155,Tanzania,181.8,724.539,1025.9885057471265,1104.0,149.0,65.0,23.1,89.0,53.0
156,Cameroon,171.0,734.635,64.0,1514.0,176.0,58.9,24.4,96.0,76.1
157,Belize,168.6,1085.63,301.0,4925.0,84.0,74.5,28.9,62.0,13.0
158,Nigeria,162.5,736.038,97.0,2222.0,182.0,54.3,23.4,96.0,119.9
159,Grenada,158.2,1098.14,460.0,11381.0,105.0,72.4,27.0,74.0774647887324,15.2
160,Liberia,154.4,734.677,69.0,703.0,159.0,63.7,24.0,94.0,70.9
162,Togo,147.3,736.605,37.0,671.0,172.0,60.8,23.2,80.0,69.8
163,Zambia,145.4,724.126,69.0,1307.0,160.0,63.5,22.6,95.0,57.8
164,Haiti,143.0,1170.73,54.0,784.0,158.0,63.7,24.1,75.0,64.8
165,Eritrea,132.3,730.154,31.0,342.0,147.0,65.9,20.5,74.0774647887324,41.9
166,Congo DR,128.0,725.756,20.0,500.0,173.0,60.4,22.2,94.0,88.1
167,Zimbabwe,122.9,724.516,94.0,859.0,170.0,61.2,23.4,88.0,46.2
168,Niger,118.8,730.976,26.0,405.0,164.0,62.0,21.7,100.0,83.7
