ISO3 Code,Country,ILO Region,ILO Subregion - Broad,ILO Subregion - Detailed,World Bank Income Group(1),Is ILO member?,Included in ILO estimates?,,
,,,,,,,Employment by class,Rest of ILO estimates,
AFG,Afghanistan,Asia and the Pacific,Southern Asia,Southern Asia,Low income,Y,Y,Y,
ALB,Albania,Europe and Central Asia,"Northern, Southern and Western Europe",Southern Europe,Upper-middle income,Y,Y,Y,
DZA,Algeria,Africa,Northern Africa,Northern Africa,Upper-middle income,Y,Y,Y,
ASM,American Samoa,Asia and the Pacific,South-Eastern Asia and the Pacific,Pacific Islands,Upper-middle income,N,N,N,
AND,Andorra,Europe and Central Asia,"Northern, Southern and Western Europe",Southern Europe,High income,N,N,N,
AGO,Angola,Africa,Sub-Saharan Africa,Central Africa,Lower-middle income,Y,Y,Y,
AIA,Anguilla,Americas,Latin America and the Caribbean,Caribbean,Upper-middle income,N,N,N,
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Caribbean,High income,Y,N,N,
ARG,Argentina,Americas,Latin America and the Caribbean,South America,Upper-middle income,Y,Y,Y,
ARM,Armenia,Europe and Central Asia,Central and Western Asia,Western Asia,Lower-middle income,Y,Y,Y,
ABW,Aruba,Americas,Latin America and the Caribbean,Caribbean,High income,N,N,N,
AUS,Australia,Asia and the Pacific,South-Eastern Asia and the Pacific,Pacific Islands,High income,Y,N,Y,
AUT,Austria,Europe and Central Asia,"Northern, Southern and Western Europe",Western Europe,High income,Y,N,Y,
AZE,Azerbaijan,Europe and Central Asia,Central and Western Asia,Western Asia,Upper-middle income,Y,Y,Y,
BHS,Bahamas,Americas,Latin America and the Caribbean,Caribbean,High income,Y,Y,Y,
BHR,Bahrain,Arab States,Arab States,Arab States,High income,Y,Y,Y,
BGD,Bangladesh,Asia and the Pacific,Southern Asia,Southern Asia,Lower-middle income,Y,Y,Y,
BRB,Barbados,Americas,Latin America and the Caribbean,Caribbean,High income,Y,Y,Y,
BLR,Belarus,Europe and Central Asia,Eastern Europe,Eastern Europe,Upper-middle income,Y,Y,Y,
BEL,Belgium,Europe and Central Asia,"Northern, Southern and Western Europe",Western Europe,High income,Y,N,Y,
BLZ,Belize,Americas,Latin America and the Caribbean,Central America,Upper-middle income,Y,Y,Y,
BEN,Benin,Africa,Sub-Saharan Africa,Western Africa,Low income,Y,Y,Y,
BMU,Bermuda,Americas,Northern America,Northern America,High income,N,N,N,
BTN,Bhutan,Asia and the Pacific,Southern Asia,Southern Asia,Lower-middle income,N,Y,Y,
BOL,Bolivia,Americas,Latin America and the Caribbean,South America,Lower-middle income,Y,Y,Y,
BIH,Bosnia and Herzegovina,Europe and Central Asia,"Northern, Southern and Western Europe",Southern Europe,Upper-middle income,Y,Y,Y,
BWA,Botswana,Africa,Sub-Saharan Africa,Southern Africa,Upper-middle income,Y,Y,Y,
BRA,Brazil,Americas,Latin America and the Caribbean,South America,Upper-middle income,Y,Y,Y,
VGB,British Virgin Islands,Americas,Latin America and the Caribbean,Caribbean,High income,N,N,N,
BRN,Brunei Darussalam,Asia and the Pacific,South-Eastern Asia and the Pacific,South-Eastern Asia,High income,N,Y,Y,
BGR,Bulgaria,Europe and Central Asia,Eastern Europe,Eastern Europe,Upper-middle income,Y,N,Y,
BFA,Burkina Faso,Africa,Sub-Saharan Africa,Western Africa,Low income,Y,Y,Y,
BDI,Burundi,Africa,Sub-Saharan Africa,Eastern Africa,Low income,Y,Y,Y,
KHM,Cambodia,Asia and the Pacific,South-Eastern Asia and the Pacific,South-Eastern Asia,Lower-middle income,Y,Y,Y,
CMR,Cameroon,Africa,Sub-Saharan Africa,Central Africa,Lower-middle income,Y,Y,Y,
CAN,Canada,Americas,Northern America,Northern America,High income,Y,N,Y,
CPV,Cape Verde,Africa,Sub-Saharan Africa,Western Africa,Lower-middle income,Y,Y,Y,
CYM,Cayman Islands,Americas,Latin America and the Caribbean,Caribbean,High income,N,N,N,
CAF,Central African Republic,Africa,Sub-Saharan Africa,Central Africa,Low income,Y,Y,Y,
TCD,Chad,Africa,Sub-Saharan Africa,Central Africa,Low income,Y,Y,Y,
CHA,Channel Islands,Europe and Central Asia,"Northern, Southern and Western Europe",Northern Europe,High income,N,N,Y,
CHL,Chile,Americas,Latin America and the Caribbean,South America,High income,Y,Y,Y,
CHN,China,Asia and the Pacific,Eastern Asia,Eastern Asia,Upper-middle income,Y,Y,Y,
COL,Colombia,Americas,Latin America and the Caribbean,South America,Upper-middle income,Y,Y,Y,
COM,Comoros,Africa,Sub-Saharan Africa,Eastern Africa,Lower-middle income,Y,Y,Y,
COG,Congo,Africa,Sub-Saharan Africa,Central Africa,Lower-middle income,Y,Y,Y,
COD,"Congo, Democratic Republic of the",Africa,Sub-Saharan Africa,Central Africa,Low income,Y,Y,Y,
COK,Cook Islands,Asia and the Pacific,South-Eastern Asia and the Pacific,Pacific Islands,Upper-middle income,N,N,N,
CRI,Costa Rica,Americas,Latin America and the Caribbean,Central America,Upper-middle income,Y,Y,Y,
HRV,Croatia,Europe and Central Asia,"Northern, Southern and Western Europe",Southern Europe,Upper-middle income,Y,N,Y,
CUB,Cuba,Americas,Latin America and the Caribbean,Caribbean,Upper-middle income,Y,Y,Y,
CUW,Curaçao,Americas,Latin America and the Caribbean,Caribbean,High income,N,N,N,
CYP,Cyprus,Europe and Central Asia,Central and Western Asia,Western Asia,High income,Y,N,Y,
CZE,Czech Republic,Europe and Central Asia,Eastern Europe,Eastern Europe,High income,Y,N,Y,
CIV,Côte d'Ivoire,Africa,Sub-Saharan Africa,Western Africa,Lower-middle income,Y,Y,Y,
DNK,Denmark,Europe and Central Asia,"Northern, Southern and Western Europe",Northern Europe,High income,Y,N,Y,
DJI,Djibouti,Africa,Sub-Saharan Africa,Eastern Africa,Lower-middle income,Y,N,Y,
DMA,Dominica,Americas,Latin America and the Caribbean,Caribbean,Upper-middle income,Y,N,N,
DOM,Dominican Republic,Americas,Latin America and the Caribbean,Caribbean,Upper-middle income,Y,Y,Y,
ECU,Ecuador,Americas,Latin America and the Caribbean,South America,Upper-middle income,Y,Y,Y,
EGY,Egypt,Africa,Northern Africa,Northern Africa,Lower-middle income,Y,Y,Y,
SLV,El Salvador,Americas,Latin America and the Caribbean,Central America,Lower-middle income,Y,Y,Y,
GNQ,Equatorial Guinea,Africa,Sub-Saharan Africa,Central Africa,Upper-middle income,Y,Y,Y,
ERI,Eritrea,Africa,Sub-Saharan Africa,Eastern Africa,Low income,Y,Y,Y,
EST,Estonia,Europe and Central Asia,"Northern, Southern and Western Europe",Northern Europe,High income,Y,N,Y,
ETH,Ethiopia,Africa,Sub-Saharan Africa,Eastern Africa,Low income,Y,Y,Y,
FRO,Faeroe Islands,Europe and Central Asia,"Northern, Southern and Western Europe",Northern Europe,High income,N,N,N,
FLK,Falkland Islands (Malvinas),Americas,Latin America and the Caribbean,South America,High income,N,N,N,
